  Grid, Temperature, Uvec, density, HCO+(x200), H3O+, E, ePotential, efield
   5.021e-02,   1.985e+03,   4.627e+00,   1.823e-01,   2.984e+06,   5.642e+09,   5.586e+09,   6.482e-01,   9.284e-01
   5.023e-02,   1.998e+03,   4.653e+00,   1.813e-01,   1.362e+06,   5.519e+09,   5.488e+09,   6.464e-01,   1.038e+00
   5.025e-02,   2.011e+03,   4.677e+00,   1.804e-01,   6.053e+05,   5.404e+09,   5.388e+09,   6.444e-01,   1.095e+00
   5.027e-02,   2.023e+03,   4.700e+00,   1.795e-01,   2.636e+05,   5.296e+09,   5.289e+09,   6.422e-01,   1.121e+00
   5.029e-02,   2.034e+03,   4.721e+00,   1.787e-01,   1.123e+05,   5.195e+09,   5.192e+09,   6.400e-01,   1.128e+00
   5.031e-02,   2.045e+03,   4.741e+00,   1.779e-01,   4.474e+04,   5.099e+09,   5.100e+09,   6.378e-01,   1.124e+00
   5.035e-02,   2.064e+03,   4.778e+00,   1.766e-01,   9.754e+03,   4.922e+09,   4.925e+09,   6.334e-01,   1.105e+00
   5.039e-02,   2.081e+03,   4.811e+00,   1.754e-01,   2.141e+03,   4.762e+09,   4.765e+09,   6.291e-01,   1.083e+00
   5.043e-02,   2.097e+03,   4.841e+00,   1.743e-01,   4.791e+02,   4.614e+09,   4.618e+09,   6.249e-01,   1.060e+00
   5.047e-02,   2.110e+03,   4.867e+00,   1.733e-01,   1.106e+02,   4.479e+09,   4.482e+09,   6.208e-01,   1.038e+00
   5.051e-02,   2.123e+03,   4.891e+00,   1.725e-01,   2.652e+01,   4.353e+09,   4.356e+09,   6.167e-01,   1.016e+00
   5.055e-02,   2.134e+03,   4.912e+00,   1.718e-01,   6.640e+00,   4.236e+09,   4.239e+09,   6.127e-01,   9.957e-01
   5.059e-02,   2.143e+03,   4.931e+00,   1.711e-01,   1.739e+00,   4.126e+09,   4.129e+09,   6.088e-01,   9.756e-01
   5.063e-02,   2.152e+03,   4.948e+00,   1.705e-01,   4.752e-01,   4.024e+09,   4.027e+09,   6.050e-01,   9.560e-01
   5.066e-02,   2.160e+03,   4.963e+00,   1.700e-01,   1.346e-01,   3.928e+09,   3.930e+09,   6.013e-01,   9.368e-01
   5.070e-02,   2.167e+03,   4.977e+00,   1.695e-01,   3.643e-02,   3.837e+09,   3.840e+09,   5.976e-01,   9.078e-01
   5.078e-02,   2.179e+03,   5.000e+00,   1.687e-01,   5.317e-03,   3.671e+09,   3.673e+09,   5.905e-01,   8.753e-01
   5.086e-02,   2.189e+03,   5.020e+00,   1.681e-01,   9.087e-04,   3.521e+09,   3.523e+09,   5.837e-01,   8.447e-01
   5.094e-02,   2.197e+03,   5.035e+00,   1.675e-01,   2.037e-04,   3.385e+09,   3.387e+09,   5.771e-01,   7.978e-01
   5.109e-02,   2.209e+03,   5.058e+00,   1.668e-01,   6.009e-05,   3.148e+09,   3.150e+09,   5.646e-01,   7.510e-01
   5.125e-02,   2.217e+03,   5.075e+00,   1.662e-01,   3.473e-05,   2.945e+09,   2.947e+09,   5.529e-01,   6.785e-01
   5.156e-02,   2.226e+03,   5.093e+00,   1.657e-01,   2.074e-05,   2.619e+09,   2.620e+09,   5.317e-01,   6.185e-01
   5.188e-02,   2.231e+03,   5.102e+00,   1.654e-01,   1.548e-05,   2.357e+09,   2.358e+09,   5.124e-01,   5.231e-01
   5.250e-02,   2.235e+03,   5.109e+00,   1.651e-01,   1.234e-05,   1.978e+09,   1.979e+09,   4.797e-01,   4.593e-01
